Comment,Designator,Footprint,Quantity Used,Quantity Purchased,Unit Price (USD),Total Used (USD)
tarjeta de circuito impreso,PCB,Custom,1,1,2.00,2.00
0603WAF5101T5E,R1;R2,0603,2,100,0.0014,0.0028
RC0603FR-0710KL,R3;R4,0603,2,100,0.0014,0.0028
0603WAF3300T5E,R5,0603,1,100,0.0015,0.0015
ERS1VM102W20OT,R6,0603,1,5,0.1646,0.1646
CL05A105KA5NQNC,C1,0603,1,100,0.0041,0.0041
LM1117T-3.3,U1,SOT-223,1,5,0.3578,0.3578
CP2102-GMR,U2,QFN-28,1,1,2.1956,2.1956
HX TYPE-C 16PIN,J1,USB-C-16P,1,5,0.0704,0.0704
ESP32-WROOM-32E-N4,U3,ESP32-WROOM,1,1,3.7526,3.7526
BK609,U4,SOP-8,1,1,2.6396,2.6396
XW5 40G,X1,Crystal,1,1,6.5429,6.5429
SX-12g,X2,Crystal,1,1,0.3408,0.3408
WS2812S,D1;D2;D3,LED-SMD,3,5,0.1155,0.3465
MMBT3904,Q1,SOT-23,1,100,0.0071,0.0071
